Minisector,LEC,OCO,Fastest
0,303.5980260484738,304.2915366777778,OCO
1,214.8144199876923,212.10291477911503,LEC
2,137.53206698311251,135.7200011888285,LEC
3,211.8877557638095,216.58252248443682,OCO
4,157.34306207170306,152.95656217658046,LEC
5,175.66355293107344,167.98179017111718,LEC
6,251.56616661327325,248.22182603174602,LEC
7,279.4616671466666,276.8336887156922,LEC
8,285.5769841777778,283.32366067142857,LEC
9,259.6909656623633,265.5215087172789,OCO
10,243.68277854814812,244.13775458580395,OCO
11,241.52937933524512,240.7921613710438,LEC
12,206.7679861111111,214.48475373396303,OCO
13,136.7280072525249,134.1800048955989,LEC
14,140.26968725467785,141.5195705791374,OCO
15,179.42039827365227,173.0151604290043,LEC
16,252.98717671111112,248.02058841292614,LEC
17,240.71165151227797,243.90467987554433,OCO
18,112.73415036432056,113.85878051636364,OCO
19,196.6594401558181,188.98278960430252,LEC
20,196.24288234901098,193.71736064190827,LEC
21,231.87728788340155,229.38526546609896,LEC
22,263.8221580347475,263.4409209022092,LEC
23,282.93211924847185,282.39010378,LEC
24,297.35070958379583,295.02474800223945,LEC
25,,300.0,OCO
