Minisector,LEC,COL,Fastest
0,295.2366656295416,287.7789115203475,LEC
1,301.10728791714286,294.07896817777777,LEC
2,249.02689477579858,232.13860944124033,LEC
3,119.73999249287465,114.44954130525298,LEC
4,131.78139898053948,140.6798934834377,COL
5,258.4443464977825,258.92554058264403,COL
6,264.5363315950476,243.86208683050316,LEC
7,122.654731103812,130.4178715049273,COL
8,242.8399878339048,246.57615270964274,COL
9,248.85413643671495,249.15259894796188,COL
10,219.17404479739633,198.24158548876096,LEC
11,151.20280044399584,143.3418006759279,LEC
12,198.4101845388546,205.09387299529496,COL
13,258.24908237883596,247.09367633593854,LEC
14,117.38097797242968,113.01033298186222,LEC
15,182.86611429476073,188.16293278312594,COL
16,266.9384092688186,268.15491639122155,COL
17,308.0932340343487,309.32351155670995,COL
18,318.07791671873014,322.82060586168046,COL
19,310.66242825777033,319.9197539765657,COL
20,304.9105555504762,312.11172349678003,COL
21,175.0379698758322,151.24543370846192,LEC
22,137.65695219638476,162.3425118851529,COL
23,193.06037168285715,183.5429495029841,LEC
24,246.62666467852767,244.69824249824396,LEC
