Minisector,RUS,SAI,Fastest
0,293.0363146577778,304.53290716625173,SAI
1,182.7785170512221,161.04771833242313,RUS
2,177.6093071883824,170.43479843140707,RUS
3,254.40618434650213,248.71337541511377,RUS
4,284.39000699118924,285.00467642015184,SAI
5,244.81838810408806,234.38988395438017,RUS
6,229.50289136326532,220.51268955639793,RUS
7,159.27521939741678,151.16247215607345,RUS
8,224.12594705306043,226.8108975708843,SAI
9,277.29444321622157,282.13157524492715,SAI
10,300.2754666061327,307.87520694187714,SAI
11,309.85893294623224,324.6884564124157,SAI
12,313.95170949294857,336.4335239517147,SAI
13,310.7742843326984,328.1797088752811,SAI
14,129.27631042951953,119.69379170206919,RUS
15,120.24453821898395,117.695924732309,RUS
16,101.0863192380507,110.6948682476533,SAI
17,230.89739143981137,242.0795386273354,SAI
18,283.15298736040097,289.7127037781472,SAI
19,303.4184799684177,315.3765281740606,SAI
20,313.03878183683213,332.67370379595025,SAI
21,314.7536039893333,333.24412848,SAI
22,135.09760995259384,116.97920805500844,RUS
23,203.984992840946,215.68890873152264,SAI
24,269.6440242982313,276.11896457306773,SAI
