Minisector,PIA,HAD,Fastest
0,299.2296970354545,297.32256054416524,PIA
1,305.6160056532383,306.26953134285714,HAD
2,308.62339573048126,310.73227452239587,HAD
3,302.19914682539684,301.1030388187654,PIA
4,172.91500081574605,163.5494308393701,PIA
5,215.51718338686817,213.05900730808082,PIA
6,245.51820669018633,239.26580825396127,PIA
7,271.15977745775325,268.12437404,PIA
8,261.3758834527442,247.43639858631113,PIA
9,169.49386663449354,159.12624389994056,PIA
10,224.8332769341082,217.16055571418872,PIA
11,135.00481511698095,122.62669946586088,PIA
12,232.85445702216177,224.59231897484042,PIA
13,181.08650312622333,160.5326435992521,PIA
14,221.57684891927275,225.0908983782083,HAD
15,249.26826578434898,240.5060621822574,PIA
16,270.74850894857144,268.7794622256854,PIA
17,288.419704892506,290.2527743991534,HAD
18,157.9105687597279,137.2650514839235,PIA
19,179.11075612164257,165.3261243202303,PIA
20,143.52062682617853,142.67943213367056,PIA
21,236.037381277308,230.45586590493113,PIA
22,267.7938158135338,260.24954550730496,PIA
23,258.0944134433417,251.58349879950487,PIA
24,279.9615820746572,279.59712644898514,PIA
