Minisector,RUS,ALB,Fastest
0,273.71855220242423,273.95173923942593,ALB
1,298.9434083347295,300.2049406552381,ALB
2,312.7405094874074,311.7335523646825,RUS
3,320.80829561606396,319.3948426505322,RUS
4,325.1520016664704,324.8205807397888,RUS
5,314.27453796857145,327.98650793650796,ALB
6,197.59131762962963,204.847274939327,ALB
7,103.78216891407514,104.38854427878735,ALB
8,185.46409864749282,182.57558587180398,RUS
9,257.2914153936842,262.1291082459474,ALB
10,285.1441376923459,290.3679394899911,ALB
11,161.27591417626928,148.43454405618488,RUS
12,96.18541778051025,96.01940575672006,RUS
13,115.25923782578622,110.05452225179818,RUS
14,217.25947545301588,209.28815179642666,RUS
15,178.38420175205414,181.93137245366884,ALB
16,218.47119025066667,216.398560088658,RUS
17,173.98666704190254,165.24755429770894,RUS
18,233.03823745990425,243.37087077244277,ALB
19,281.14280433203794,277.37501680915824,RUS
20,243.18287562874457,243.05607450877773,RUS
21,143.75699312275736,142.66146020575388,RUS
22,91.70737289750527,92.76623341373376,ALB
23,123.8650244685197,122.9540149087619,RUS
24,221.05158909090912,224.4644781211322,ALB
25,254.08571977142856,,RUS
