Minisector,PER,RIC,Fastest
0,299.325500916934,285.1137153154638,PER
1,307.54608637291005,293.8371326117647,PER
2,159.1377622294165,159.5436183288548,RIC
3,214.4340770191661,215.4969349983976,RIC
4,276.55997745357575,268.66212121212124,PER
5,303.75707398327586,293.68494266742533,PER
6,312.95347243636365,302.6885458321569,PER
7,155.76976004080754,178.59753801188566,RIC
8,120.82000620619013,104.96796077661742,PER
9,252.13819983102798,247.34411187916908,PER
10,296.75253752142856,285.4227664197531,PER
11,314.386363267483,298.28828571428573,PER
12,136.49295602114248,148.39645650899865,RIC
13,180.1885397250135,175.63129034666483,PER
14,248.75487559057643,253.18620008380952,RIC
15,197.5363489246978,204.21670693756613,RIC
16,207.93449721210334,200.4019540583787,PER
17,206.9246656763147,199.43423331597631,PER
18,238.577481554729,225.980124608,PER
19,276.3785438992593,269.9758085019608,PER
20,291.15937486666667,291.9665029761905,RIC
21,260.2496257110122,254.22507637734338,PER
22,214.54619949272316,216.6050981512215,RIC
23,200.03956959689754,196.65983916424932,PER
24,259.5978092407619,254.32634524511278,PER
25,,277.44250048000004,RIC
