Minisector,PIA,HAM,Fastest
0,274.8436364509091,312.7163030865485,HAM
1,309.732776768,326.6830529777998,HAM
2,288.17851151809526,310.4064212376181,HAM
3,169.66959391727215,176.49950369565786,HAM
4,218.96967490324784,212.39100460159236,PIA
5,194.9232107008547,197.3720665302234,HAM
6,180.2233568824117,178.54145035586888,PIA
7,213.05157837575757,199.81099408273795,PIA
8,253.0242347755102,249.21645417330126,PIA
9,244.88059532867726,252.94038539859213,HAM
10,177.4831440406668,170.1228767659845,PIA
11,237.47967945922275,226.8770862986133,PIA
12,119.11126843001789,129.66812536667712,HAM
13,243.31871541241367,228.3818232945858,PIA
14,274.6749378220408,275.9456906039092,HAM
15,270.3792620948088,274.05635130260316,HAM
16,204.59516821177675,219.72202778884352,HAM
17,193.38278324356006,186.1925415742297,PIA
18,288.5275205250153,282.161942331278,PIA
19,315.92839277714285,324.05610140190475,HAM
20,310.9653769396825,329.4396605530864,HAM
21,291.67201738018633,307.22448119979947,HAM
22,255.66380598814814,279.07526985397993,HAM
23,124.59802995734826,126.03955900867383,HAM
24,245.49864364062495,221.89737928,PIA
25,,280.677169077551,HAM
