Minisector,LEC,LIN,Fastest
0,253.53401689014925,241.3241015512545,LEC
1,127.56927779478372,139.824288922433,LIN
2,275.9934024135233,283.56475900770977,LIN
3,314.95554582995413,319.38113072959646,LIN
4,298.62910882047294,301.3215373545578,LIN
5,326.63980670694366,314.83748134162767,LEC
6,339.2240548362659,313.71084710082647,LEC
7,326.59928145454546,310.1310586204004,LEC
8,204.8165964161506,185.7417683156407,LEC
9,186.97119898716684,193.20309709104194,LIN
10,181.05544247349405,169.0185981110201,LEC
11,164.17399904666064,171.53779383432803,LIN
12,246.47986904956446,241.74398098695045,LEC
13,264.1734807814331,250.04154372284196,LEC
14,256.86895167311826,265.98266291757625,LIN
15,249.58626299681856,235.61355109488878,LEC
16,178.78534113676656,176.0579400987964,LEC
17,190.8314814706455,189.7102150340196,LEC
18,250.41434118908154,253.79805914740385,LIN
19,297.1728487692449,303.051883992199,LIN
20,315.8025221849599,316.2610667840142,LIN
21,290.6818348761921,292.07658169507505,LIN
22,272.0069050660534,275.31865643472986,LIN
23,236.14205271802481,213.93712115408184,LEC
24,122.59054620371754,126.16433200561227,LIN
25,223.13784859944283,,LEC
