Minisector,PIA,NOR,Fastest
0,289.808713094133,307.36393245306147,NOR
1,296.1338816327485,322.6656847919098,NOR
2,290.07780263818023,303.1099381669759,NOR
3,116.84701955807817,103.50376814201331,PIA
4,223.70772026008657,226.58921877454918,NOR
5,274.320761001864,282.4353983180375,NOR
6,212.0763075044898,221.53602155530407,NOR
7,161.81510386512207,154.42313993943014,PIA
8,207.21876556364936,209.2446521727556,NOR
9,216.88550014589313,210.57993619563513,PIA
10,121.13784789768569,117.07164429603601,PIA
11,229.76969144495112,228.48203090926108,PIA
12,117.98875618291072,114.68413141134923,PIA
13,223.65769614160342,218.95007437737334,PIA
14,276.78290679674893,275.7271738434783,PIA
15,218.77189154428277,219.44192480967158,NOR
16,192.31032095000995,179.60697125936807,PIA
17,247.3642064378999,244.1113292431527,PIA
18,206.06931849687004,203.0246149711799,PIA
19,183.10139689452555,179.0425672331632,PIA
20,262.4616007873775,262.63881101390166,NOR
21,290.9003041288889,288.51721044653283,PIA
22,171.7573106120513,177.64047543977824,NOR
23,210.41902130514285,209.0455090787675,PIA
24,267.5040450107346,271.1114872582218,NOR
25,281.92857234285714,284.6,NOR
