Minisector,SAI,MAG,Fastest
0,279.72748651779284,277.20869697742927,SAI
1,241.6112927780246,231.4427159888657,SAI
2,274.1283419143341,259.5712973948779,SAI
3,290.96949863851086,279.88613852498435,SAI
4,121.34469263622398,126.29762402046026,MAG
5,210.7313845650746,204.69531122211183,SAI
6,271.75096547293776,265.7104061751366,SAI
7,305.0759879319455,288.8866170986737,SAI
8,321.3624998857143,300.2348064222767,SAI
9,328.4314262975549,304.78659658972657,SAI
10,290.6056563620944,288.7433678755638,SAI
11,96.57046441637486,98.8229027278114,MAG
12,224.60216687299535,215.52918117173058,SAI
13,274.7416780281188,266.5522052788542,SAI
14,269.5516132467224,269.53414347279215,SAI
15,126.07601463940436,125.28144717421259,SAI
16,198.75138930301853,195.50510871039063,SAI
17,256.8552332280744,251.4236705213565,SAI
18,256.3640354807018,251.94788107025573,SAI
19,248.3602080981344,236.2906302122852,SAI
20,147.10184026200247,152.68349970302864,MAG
21,190.72960609362508,181.2938001392669,SAI
22,165.76162504697822,164.77745487161718,SAI
23,189.22469221709204,186.60423442348016,SAI
24,252.86363201540303,245.13400378844364,SAI
25,,266.3416661333333,MAG
