Minisector,RUS,OCO,Fastest
0,296.4725212482951,304.8300306217989,OCO
1,236.85590155767193,212.63717159695238,RUS
2,135.12382603096057,129.2361156007874,RUS
3,216.22618672620078,218.50114088877845,OCO
4,259.17110397327355,262.7416516967313,OCO
5,283.4104980711111,285.78631952748486,OCO
6,293.1325000147301,298.62224696190475,OCO
7,270.9332217697371,251.83096997345015,RUS
8,173.7376395986134,164.35343368926127,RUS
9,234.7334543130326,238.97318410831,OCO
10,265.90986135111115,268.0287879981159,OCO
11,257.62443995597886,256.32752017203006,RUS
12,209.00121010250072,205.71755953020403,RUS
13,129.40210085506143,122.45276319555897,RUS
14,123.24537219919824,121.22991435649702,RUS
15,159.4290864807895,148.42486691695515,RUS
16,121.46489811782067,121.88320177915058,OCO
17,231.86386151762576,224.77785033816915,RUS
18,176.55280945218533,157.82798563944974,RUS
19,163.14512389468564,159.26494515164939,RUS
20,244.63542271435622,243.3038653804831,RUS
21,269.94262298939725,270.9467765395571,OCO
22,283.42169328507936,289.8459123961905,OCO
23,291.8290692886003,299.15270799111113,OCO
24,295.72209574331026,305.9395684355657,OCO
