Minisector,ANT,HAM,Fastest
0,283.9924274007686,285.42647123002797,HAM
1,122.24907746695685,122.49728083060558,HAM
2,157.56203869497736,157.6280163987832,HAM
3,219.0728725093333,215.39310114031744,ANT
4,167.3800801232741,159.67597477011182,ANT
5,240.08472581710714,243.37697104550267,HAM
6,213.11611333714288,219.51152337842177,HAM
7,132.61180619948988,135.6102040152381,HAM
8,230.10698477809942,229.80548328688775,ANT
9,276.9987569340056,275.7082041,ANT
10,286.0966758050909,289.3429568563891,HAM
11,157.2218496287064,154.94712949784486,ANT
12,216.57969825972873,214.73870103861472,ANT
13,268.9206947294094,269.01589349260934,HAM
14,278.4180141150039,280.3810888224387,HAM
15,102.22650515429528,99.57522705550349,ANT
16,211.53281861642515,203.34347510042016,ANT
17,270.7864854934115,267.59816393233183,ANT
18,294.33177798162967,290.9355845438095,ANT
19,306.59937809608465,303.3795883047619,ANT
20,312.6723888872331,309.23666662222223,ANT
21,308.50475988625186,302.54214324226797,ANT
22,151.90993122555315,154.86460682793214,HAM
23,235.5195889870377,219.83044506302898,ANT
24,276.00979854285714,270.195040991453,ANT
25,287.2977268363636,287.26766436394456,ANT
