Minisector,PIA,COL,Fastest
0,280.6564407901821,288.735670447257,COL
1,144.48253152200343,159.8198077132678,COL
2,173.04353611917287,164.68822776041006,PIA
3,245.16478699359305,239.32608511028297,PIA
4,265.8651483679481,274.6907522668078,COL
5,233.62794727009523,234.7279739305864,COL
6,213.67992098344817,202.74415895241665,PIA
7,145.680931758557,139.1664627654308,PIA
8,226.58418932465457,229.38713848740738,COL
9,297.890006321207,298.8704348556204,COL
10,319.68921594472,320.056823629734,COL
11,317.5795049584541,321.1569231940782,COL
12,310.40809946326823,312.60809527477954,COL
13,305.1647382829329,304.59678967736176,PIA
14,124.90515872921749,128.35805185231422,COL
15,119.93053665269564,117.98478347138578,PIA
16,104.09452662443785,100.79630584646284,PIA
17,239.29787287238244,242.18557476016034,COL
18,303.64756201379316,303.87517025684207,COL
19,322.11592244705884,318.21547648130996,PIA
20,321.85768775306826,314.049616402963,PIA
21,315.4691607828571,310.79641563044015,PIA
22,115.42304142454945,121.76740637243581,COL
23,210.11380937477773,196.20815490835543,PIA
24,273.6965995699501,273.4712075914149,PIA
25,286.2,282.57812479999996,PIA
