Minisector,ERI,HAR,Fastest
0,284.5951243144697,285.28506646293266,HAR
1,250.17950319865471,246.50382802118708,ERI
2,269.8615266076234,268.74771774814815,ERI
3,285.71144227724864,282.94511942019665,ERI
4,128.81836353916816,125.39269691186894,ERI
5,209.51118704369236,214.45699435002754,HAR
6,266.5842792253424,266.34476630711777,ERI
7,296.06960759215684,288.83760293882546,ERI
8,312.1069377895003,297.9622397203732,ERI
9,319.5540960999183,303.391927,ERI
10,291.4430235340368,289.15379373525604,ERI
11,100.27894819958944,101.18897990735276,HAR
12,219.03107739706473,223.02248906920906,HAR
13,275.4970768211096,271.8031469743724,ERI
14,274.24652477543793,268.53132219565805,ERI
15,129.72460526156533,132.18988344772438,HAR
16,202.00236842178816,208.98310800813292,HAR
17,257.3001067111874,258.0384964767206,HAR
18,246.5509001328143,256.7521109953382,HAR
19,239.35689983330226,244.97189368711187,HAR
20,143.54359856114434,142.0988861566106,ERI
21,186.45298675926338,194.84761173039396,HAR
22,170.8732147442748,169.27580142137305,ERI
23,182.87616134751684,186.72764771664293,HAR
24,247.0657726605516,250.136646249135,HAR
25,277.2,272.0,ERI
