Minisector,HAD,LAW,Fastest
0,276.3257936507936,274.61626795497835,HAD
1,118.09218004218005,113.43331477317611,HAD
2,157.60149572649573,164.76653837724052,LAW
3,203.7730303030303,203.23325458455028,HAD
4,166.2355,158.31759974699506,HAD
5,239.28645181978516,239.8595680222449,LAW
6,205.1676524099777,197.45758695740952,HAD
7,134.02660430839003,131.4424330822909,HAD
8,239.50073353091352,243.50173056493824,LAW
9,283.18515625,284.76188595899157,LAW
10,278.949452508276,269.6280376575553,HAD
11,151.273419131145,146.7498295521839,HAD
12,225.98000000000002,224.77523943957672,HAD
13,276.39070751630004,277.26601357385624,LAW
14,250.07198879551822,217.82051083509816,HAD
15,103.47280922466236,101.77231804541415,HAD
16,232.20677295407944,235.69294237699347,LAW
17,290.46345512777776,287.2817238789916,HAD
18,313.746918767507,316.0523437307527,LAW
19,320.07261904761907,324.01895942270704,LAW
20,313.5020685009705,314.74311317098903,LAW
21,285.48058783321943,285.1856831165291,HAD
22,159.86909729061657,154.56701952825094,HAD
23,241.74427539289857,245.82279053974958,LAW
24,282.218492063492,274.2387137736111,HAD
25,286.0,,HAD
