Minisector,BEA,RUS,Fastest
0,273.5196300026029,277.9330932276543,RUS
1,300.60378213046386,303.36295900734694,RUS
2,312.46034258924624,315.944142934026,RUS
3,318.66212133384613,323.6873304302155,RUS
4,320.10336739434445,326.20944041295235,RUS
5,322.1386458266667,329.08337721008405,RUS
6,205.36284734529497,202.1230960326041,BEA
7,106.68165921309928,108.80412694395636,RUS
8,193.55593358810208,192.19309991658628,BEA
9,262.670774064598,261.7201061948773,BEA
10,287.4838712711111,290.7011537723077,RUS
11,168.0945621589189,162.23741296803843,BEA
12,98.07523228437019,99.43098763612647,RUS
13,116.37029951181958,116.46206075204458,RUS
14,222.19844767954427,218.88805971714285,BEA
15,190.28690071762088,193.4197941810352,RUS
16,225.56445297406128,225.18371546174606,BEA
17,183.17365103486296,183.88795892110522,RUS
18,234.65746453333335,242.56783323846872,RUS
19,276.6358528143915,280.4236399607018,RUS
20,248.56985757458838,241.89883562426067,BEA
21,148.3492762929138,150.51136990355934,RUS
22,98.18728651128947,98.35343960674523,RUS
23,127.02384759088949,126.63027973090453,BEA
24,225.56378484342858,229.54703059982683,RUS
