Minisector,ALB,HAM,Fastest
0,280.3687981424142,281.21194968426755,HAM
1,251.61966669598232,237.0558426376534,ALB
2,272.90616979196693,264.00688666929295,ALB
3,287.2395395219344,283.1936427216981,ALB
4,122.99678911507081,132.6794031506287,HAM
5,205.97615677900217,206.072412234996,HAM
6,270.86486237835925,264.8644842920635,ALB
7,303.1989803242308,288.7008935212031,ALB
8,317.8906751189545,299.7448007219108,ALB
9,325.86344984382833,304.6748660182217,ALB
10,304.2086401309126,286.07407455720386,ALB
11,100.85053808933006,101.58043251648996,HAM
12,221.80682697662286,217.07949432092104,ALB
13,270.99947612517815,268.5414766451616,ALB
14,271.9374767657617,274.92779866873576,HAM
15,131.86781775701263,135.13453245152596,HAM
16,195.54829197283448,200.16357944887156,HAM
17,248.6317482692221,253.75392588421255,HAM
18,257.55883930608496,258.48633428365355,HAM
19,237.31316488444767,240.16510693929712,HAM
20,149.2041956541433,159.43756720113242,HAM
21,181.5435254441114,187.50847599525824,HAM
22,165.870555904451,169.0950639327266,HAM
23,183.7403668445388,186.80947586256363,HAM
24,247.21749841148443,247.5238466430382,HAM
25,267.5750016,272.5833344,HAM
