Minisector,SAI,ALO,Fastest
0,291.94788433886623,305.01745774500745,ALO
1,301.2525104695652,320.3596708892022,ALO
2,293.4091954506465,295.8984970739459,ALO
3,111.04308721419794,107.29747213023245,SAI
4,226.39094037394264,225.30899023785105,SAI
5,272.05179369179757,269.3506904637129,SAI
6,213.18546714939004,197.833778499589,SAI
7,171.1625260474501,171.10555528589603,SAI
8,209.95543906285928,210.27363254300545,ALO
9,222.26242202103975,223.32169869208738,ALO
10,112.98927761979078,121.21193763121411,ALO
11,231.7263834820533,233.34542897554286,ALO
12,116.94371135329946,119.80991530262165,ALO
13,225.55634596943312,224.45774909523362,SAI
14,275.6808334533333,273.66846617018183,SAI
15,233.0369187263944,213.09185611037438,SAI
16,197.31499628193848,206.87844571786096,ALO
17,246.96766041559363,256.1503298377416,ALO
18,208.72884660552114,199.37510544160259,SAI
19,185.54117641639763,208.41092855342995,ALO
20,264.3299404761905,264.65207045397506,ALO
21,289.74507854057845,286.5731331636364,SAI
22,177.9158882704597,163.75339200441033,SAI
23,211.20016561558324,215.73701254174398,ALO
24,273.2211687511688,271.8133494770628,SAI
