Minisector,PIA,HUL,Fastest
0,254.29622818945623,254.53630235667583,HUL
1,225.0775561304712,209.12735745952702,PIA
2,212.20310397340268,204.22479793323024,PIA
3,256.42562528,260.42943606530616,HUL
4,270.3528600131991,269.09713084803593,PIA
5,289.1566381248603,292.263639729432,HUL
6,147.49341168789667,158.60227254478403,HUL
7,190.00789214926294,179.8899258877787,PIA
8,270.5341927941243,270.9505794387145,HUL
9,296.5247877359447,306.2882719492064,HUL
10,306.3394018714408,324.1620067152811,HUL
11,304.8788851073231,326.6347294345999,HUL
12,114.00732613483753,116.55330510861909,HUL
13,192.4948341672295,182.11388006611796,PIA
14,271.38634263404015,267.6056844135791,PIA
15,292.8924382465587,295.2068995658294,HUL
16,296.4172633953185,305.2213033878479,HUL
17,189.3211013158048,188.63016521205083,PIA
18,225.13428552059395,218.55383554729875,PIA
19,273.2269162585864,267.30799196669653,PIA
20,157.75120904189887,161.0694845389984,HUL
21,148.35714812408065,147.0938741185667,PIA
22,228.82089761850656,218.39207426949503,PIA
23,242.93217918456415,251.65937959554975,HUL
24,160.00926006206598,154.32390881922365,PIA
25,225.9,219.83918276232862,PIA
