Minisector,LEC,NOR,Fastest
0,301.5524320950458,297.57046151898345,LEC
1,210.02574200060064,222.39690479714938,NOR
2,231.38814742439962,232.36437700266666,NOR
3,279.68816125709793,276.70591447377365,LEC
4,248.00143230454108,253.31532172240267,NOR
5,126.79428924150963,131.67101647264687,NOR
6,215.40027506349708,211.67618429243086,LEC
7,267.35519685514737,266.14118846961037,LEC
8,248.85899469793586,253.900429511005,NOR
9,240.25089051165568,242.18379606215646,NOR
10,279.3100173078852,278.9699884910351,LEC
11,296.0192848048073,294.64436314436676,LEC
12,311.9265208967145,305.3375055158277,LEC
13,323.2314943068501,310.0314503607369,LEC
14,326.26055559111114,309.95963562,LEC
15,270.9150268659377,271.03090911883544,NOR
16,247.5877940231511,254.13799201165736,NOR
17,287.864908051948,283.08788336457144,LEC
18,310.3886002734362,294.8411649162261,LEC
19,156.52853044018687,161.74325280538733,NOR
20,214.28322233843244,211.8795860254319,LEC
21,192.1186176618082,178.73169585353332,LEC
22,141.83327389342406,142.36170238176493,NOR
23,239.5022457385908,245.31931202543882,NOR
24,283.80764177577583,284.6832328488493,NOR
25,296.71666773333334,,LEC
