Minisector,ANT,LAW,Fastest
0,285.42989293252526,292.5314880850069,LAW
1,292.72037033086417,299.3582954181818,LAW
2,244.97873723980186,238.72382066967089,ANT
3,122.99466022552889,118.53164663710791,ANT
4,127.62331136595566,135.17266298605674,LAW
5,252.04480089216932,255.80172920329755,LAW
6,268.7164326189899,252.23140068848485,ANT
7,126.39144341642158,126.38131101771118,ANT
8,250.3817781516883,242.510597857094,ANT
9,256.4795269953674,244.13285014186667,ANT
10,214.6340009756499,204.11289828151226,ANT
11,151.7047285736341,142.46081147592827,ANT
12,194.26945464224664,207.58348663045268,LAW
13,255.6774873568007,257.2526353822264,LAW
14,124.1788180416055,120.1543927533124,ANT
15,180.7658730414781,181.716158768153,LAW
16,261.13108808347823,264.1950646866818,LAW
17,309.59850519293445,308.24027864045445,ANT
18,319.8139353952153,322.1462748507633,LAW
19,313.5972782667862,321.8977942588235,LAW
20,307.87177228590826,312.20172889082176,LAW
21,218.5970792347386,178.68979891849622,ANT
22,134.97387323942888,138.3078944983242,LAW
23,191.01165446619072,184.33314541252068,ANT
24,236.07383971878494,246.37870232182195,LAW
25,275.26000128,284.55999744,LAW
