Minisector,VER,LAW,Fastest
0,316.34120051976106,311.18067162642666,VER
1,329.7030375938788,326.25119779952496,VER
2,334.5342040162757,331.31408542955165,VER
3,312.3937689780947,285.45436323765773,VER
4,156.08026555974814,144.28785781398997,VER
5,192.1657346457654,183.1823863556729,VER
6,216.53580239338476,208.29910065789943,VER
7,262.85183032549895,258.3430673318032,VER
8,234.07600232218465,223.74029236324526,VER
9,155.70797207985424,145.25852853877663,VER
10,214.52332213022194,196.5406027976443,VER
11,124.90776477529302,121.05488018735213,VER
12,234.00387890894007,235.4402482020287,LAW
13,166.28595990815333,169.15387272911872,LAW
14,208.68902008698637,207.06695703756085,VER
15,213.1424006148613,216.28266266383852,LAW
16,255.07989161443317,254.80755408238343,VER
17,294.37440358976045,288.27040832247087,VER
18,142.92671797643493,138.11454168941492,VER
19,156.5590537210723,151.39875665002347,VER
20,137.97285968306412,127.895653520198,VER
21,227.80991440876488,219.75891223210965,VER
22,249.22493723579473,246.6779243660174,VER
23,235.9969967186004,220.02751041702297,VER
24,283.0825452780984,278.80883675321314,VER
