Minisector,NOR,TSU,Fastest
0,252.9754441031111,249.9235605388006,NOR
1,207.61429218097038,211.18241928066485,TSU
2,207.3249503698008,202.65008363848932,NOR
3,259.00914291836443,258.12903644971044,NOR
4,277.44775183507,272.48155281535355,NOR
5,290.38559983026653,286.2010222419753,NOR
6,150.44393916756462,161.79456666517532,TSU
7,183.23248953860661,183.15035180161092,NOR
8,268.7828263281159,264.90102113630854,NOR
9,294.7809791836735,288.3853637904944,NOR
10,305.8752588224762,299.4229721991111,NOR
11,305.6464031871679,302.27141357656564,NOR
12,122.44641351984762,112.28224554828762,NOR
13,194.16486090764977,188.15441784177892,NOR
14,269.8443328720936,267.8149969201114,NOR
15,294.3188065858586,290.7884328656758,NOR
16,297.5714278503896,297.7096729034013,TSU
17,184.42010101170834,183.29704447549344,NOR
18,219.04506491710046,219.30777395781308,TSU
19,268.51791276627654,265.10915719305103,NOR
20,149.76030026479003,155.6365800177778,TSU
21,139.14170135116038,141.52321319983113,TSU
22,218.21223920215928,214.7408306184686,NOR
23,232.5178560733686,235.04573778086234,TSU
24,155.36324894526393,154.344925262899,NOR
25,224.43499904,221.5863586909091,NOR
