Minisector,PER,RAI,Fastest
0,293.1804784509987,296.62954490735933,RAI
1,159.39277975001878,156.05297421696213,PER
2,151.79101892176723,153.8258709201096,RAI
3,226.0874715051688,222.8138303316964,PER
4,285.28398323116886,282.9921808969697,PER
5,284.12968573333336,294.74959070098504,RAI
6,143.77326712550266,147.13504932634373,RAI
7,143.91307599367664,140.24352814914258,PER
8,143.60953237232428,148.88475813295582,RAI
9,183.77062424001062,180.00550137089002,PER
10,133.15770975711874,129.9533867527159,PER
11,122.29718096161024,126.75187486296547,RAI
12,167.39764025783666,158.18711327929128,PER
13,267.6228339626667,263.67412884234676,PER
14,287.62559546320347,289.37797654025974,RAI
15,150.55887417642478,154.3639609625098,RAI
16,212.82872672554666,216.23616233180832,RAI
17,173.31901762005012,162.86082000761905,PER
18,273.1757943387915,266.86563235776396,PER
19,296.17480179954646,292.6165636173913,PER
20,309.6692029737881,304.9158732190476,PER
21,317.09708336,313.3007145142857,PER
22,320.2139584,316.59617183660987,PER
23,323.131547631746,318.6324998933334,PER
24,320.2280073864662,319.5,PER
25,315.07499946666667,319.0,RAI
