Minisector,GAS,PER,Fastest
0,288.6014227677019,287.6875344545302,GAS
1,307.3288093942857,306.3845240888889,GAS
2,301.42936604444446,303.15765254240364,PER
3,180.23294614701823,186.90636536547618,PER
4,213.75603393891626,225.870900457948,PER
5,195.0844131504314,216.23214281904762,PER
6,183.9562977910358,197.98150413929085,PER
7,203.60904306236557,218.29511547586208,PER
8,252.63154398747068,259.0800927407408,PER
9,257.73335879999996,263.1833329556936,PER
10,173.56974215449736,181.0222058030684,PER
11,238.53788435700622,243.6295204232804,PER
12,121.03076017163713,117.82817487965556,GAS
13,224.30100803683925,231.25538037389768,PER
14,273.30007745590063,275.35351495749035,PER
15,280.799436112032,285.7776830015781,PER
16,204.29396340461173,205.80604467317158,PER
17,181.87968560648866,192.06409703767716,PER
18,267.45861800414076,271.55106322489956,PER
19,293.8598483393939,296.29432920266896,PER
20,306.5314882133333,308.2259721955555,PER
21,306.10166666666663,309.0002506265664,PER
22,266.7285947936508,255.58393474077408,GAS
23,116.89377693897511,122.95647566381571,PER
24,240.9835316278388,250.2536460888889,PER
