Minisector,HAM,LEC,Fastest
0,264.72300352016845,263.4322802365915,HAM
1,282.2109843530159,278.842438330005,HAM
2,282.5801551539145,284.0041207851313,LEC
3,127.0925864930773,135.02600406235544,LEC
4,194.55049221016722,187.70623632539363,HAM
5,256.6145671348148,254.28510553878027,HAM
6,139.3467064394277,140.24891406977264,LEC
7,200.35506285073595,210.21815989333334,LEC
8,256.37709175017545,255.31718365579832,HAM
9,276.81048587555557,275.5651384651852,HAM
10,229.0307597303412,231.66921911166762,LEC
11,175.84260146259442,179.7887360869136,LEC
12,175.16073391733008,186.71017509406735,LEC
13,141.04426371285714,139.48255443719736,HAM
14,170.77239001128171,174.16119333751507,LEC
15,156.47292830222224,156.63659438855709,LEC
16,213.0750162536332,210.22976840060986,HAM
17,228.1015997279811,229.2012282385965,LEC
18,232.465179078557,232.45670136926339,HAM
19,239.98755291924505,245.94825656330158,LEC
20,145.77837879036414,142.1935983570712,HAM
21,137.54224631476038,142.1853151753454,LEC
22,166.85856419438008,159.81799604637357,HAM
23,151.12187656393266,145.90476084039997,HAM
24,225.30324333718391,218.06207376563148,HAM
25,248.9624992,248.38333257142858,HAM
