Minisector,ALO,PER,Fastest
0,283.98519198154884,305.1624755796446,PER
1,295.4755280166233,324.6498981179377,PER
2,299.5453636213103,334.3386044033229,PER
3,299.8506365464346,332.82603174603173,PER
4,182.3311026085714,170.6745408218761,ALO
5,211.6905955367954,200.41471329683753,ALO
6,239.2387182165632,233.0379644197095,ALO
7,263.94399276110136,262.72304699753033,ALO
8,271.70807178601495,264.322053996915,ALO
9,162.53798879929914,160.25040862183175,ALO
10,229.2490772217357,228.0471411354326,ALO
11,139.6505798466274,134.0893288048278,ALO
12,220.6820555657749,216.68892130989286,ALO
13,203.94119533114127,190.92216651194877,ALO
14,209.85427500162908,209.82488021741065,ALO
15,251.0111672630213,238.24719717082752,ALO
16,258.9674766213662,251.94777562120868,ALO
17,279.64310019664265,282.5961158131658,PER
18,153.82565952000974,141.1649863288507,ALO
19,156.9061102668073,165.24872179074524,PER
20,141.9422516909278,143.2756920986209,PER
21,167.02753567111114,157.37092164849977,ALO
22,120.8679041397608,122.8261730323684,PER
23,218.60146414079736,228.00244472513498,PER
24,265.6610578383127,269.1458066567117,PER
