Minisector,LEC,HUL,Fastest
0,290.3844357527841,284.2735578684249,LEC
1,144.64473335025906,151.7582158530572,HUL
2,227.21093906532468,228.90167586083055,HUL
3,285.8270212795601,280.24488575007615,LEC
4,323.9042345084807,312.02078350708075,LEC
5,309.9279657212121,294.78652619957796,LEC
6,150.06175224990093,149.59275688257497,LEC
7,245.89711528463306,242.29645372843538,LEC
8,108.934485176865,111.79188450005947,HUL
9,174.08665910164376,177.72402992580646,HUL
10,278.97860224444446,276.58402407973045,LEC
11,301.48736281998936,301.8442993406763,HUL
12,204.44467097791082,214.11003235493826,HUL
13,172.59350037191734,176.00205657914566,HUL
14,281.3932369748623,280.7281352938338,LEC
15,312.6948468256992,312.56479724380955,LEC
16,327.76952377720056,326.31293997866663,LEC
17,337.18636162590474,332.81982333320576,LEC
18,349.34803939047623,336.99851026219886,LEC
19,351.0091911529412,338.23717103157895,LEC
20,196.36895327780024,192.07466574457322,LEC
21,181.97314808127905,178.26638918945955,LEC
22,280.6893180360741,282.01352240918504,HUL
23,313.6434757879042,312.48075441778633,LEC
24,324.3926438372063,322.30457772524295,LEC
25,,319.7196650792529,HUL
