Minisector,BOT,RAI,Fastest
0,295.1484610318559,299.79050558476195,RAI
1,305.5606515328321,319.19801488401635,RAI
2,310.34765022892225,328.6804899737281,RAI
3,310.77258773333335,332.6092106105263,RAI
4,211.49549333383248,194.1512159769809,BOT
5,229.60329205489566,222.0858384826602,BOT
6,273.69504044535705,270.1888861985745,BOT
7,281.28709659399584,279.4145754769175,BOT
8,199.37137114838708,190.85982709213835,BOT
9,161.20868614150945,157.98346051125114,BOT
10,194.61817808631315,187.3172908808652,BOT
11,266.00925647026065,262.6821165449275,BOT
12,260.7577906285714,253.70763788198568,BOT
13,237.92212163444353,224.28594895492682,BOT
14,279.0037876363636,273.2674240484848,BOT
15,185.98270672555935,179.86796088302765,BOT
16,228.28564732839507,218.62608430033075,BOT
17,249.7561639100539,252.55471959836012,RAI
18,143.10077933837928,136.52061070142204,BOT
19,247.8044889198157,238.7624754102857,BOT
20,285.3550862822511,280.8644771247715,BOT
21,258.94321277518713,265.71358799976946,RAI
22,153.34130679197727,144.55242699630304,BOT
23,221.4375908549671,201.02815995270936,BOT
24,277.22865217662337,269.550151691961,BOT
25,289.52916693333333,286.6833326222222,BOT
