Minisector,PIA,OCO,Fastest
0,290.4676541915344,289.10019678557,PIA
1,303.5136298389318,298.67119826729146,PIA
2,304.98699999999997,288.74758493642514,PIA
3,191.09633881345218,182.6150267356229,PIA
4,207.36876778740708,204.0425942458167,PIA
5,207.38472556088848,201.3563350780133,PIA
6,264.2928072931554,258.0733442742857,PIA
7,252.39560721450772,247.83348522733158,PIA
8,208.49987941094653,204.41339749431643,PIA
9,202.47302958917135,201.2083721276774,PIA
10,148.82783855994504,141.2831677209663,PIA
11,200.48484263274116,190.60321553446803,PIA
12,183.9202676935359,178.5446231279477,PIA
13,246.48518771486295,252.2631288163265,OCO
14,174.51216230219558,166.42565196435166,PIA
15,231.73921358535628,231.60888084632816,PIA
16,273.8650139215119,273.8914675442424,OCO
17,277.98063749123537,279.9257406034901,OCO
18,269.93686074178635,271.857477091019,OCO
19,258.1321155231746,253.79248261013345,PIA
20,257.7389287107483,250.24293205925926,PIA
21,257.73142154064124,253.9915121252174,PIA
22,224.12866846824514,214.76268100667164,PIA
23,200.05886635706227,196.44216830344828,PIA
24,267.88048306684806,267.0491953869752,PIA
