Minisector,VER,STR,Fastest
0,291.40431441245653,292.6477026105862,STR
1,302.07408000805367,302.425037593985,STR
2,267.5012651827022,302.4420765257143,STR
3,110.25128740879923,103.87609105445944,VER
4,220.25639164030568,219.05065924693085,VER
5,267.9700782438736,278.7797662768263,STR
6,207.7114704877267,222.38848648598642,STR
7,160.9114100526,152.62373856139698,VER
8,200.00928887571428,203.07200825818748,STR
9,205.92247298708995,218.15296196062354,STR
10,118.08780460327185,114.3884243022746,VER
11,224.30266876773845,224.54592699278203,STR
12,117.61933386550663,120.71041031276893,STR
13,219.5988483718299,209.67270993329308,VER
14,270.41149971329617,266.897309586505,VER
15,216.0394595041975,215.1054735750735,VER
16,187.13003413923195,187.70760402777483,STR
17,241.02534562378926,239.18662267474747,VER
18,202.88039987910534,198.7842797147108,VER
19,184.90734822380443,179.06913490501654,VER
20,263.20879143409996,257.7296283851484,VER
21,286.99803110073583,285.77169367930736,VER
22,173.68589049251776,177.3165157790844,STR
23,209.6710985703887,202.596375638735,VER
24,272.6987279792208,267.4069225372095,VER
25,285.3958336,282.2964288,VER
