Minisector,BOT,GIO,Fastest
0,279.44184466285714,278.38266780630437,BOT
1,223.35998503366883,219.1786042353974,BOT
2,118.41569999195087,115.3496684602634,BOT
3,201.92637973919412,197.83593800000003,BOT
4,177.08501293697682,172.62597394593556,BOT
5,223.98586801587302,225.19528804621967,GIO
6,279.0992778580433,280.1836154065163,GIO
7,297.2196758518519,297.69289022645506,GIO
8,179.2824904634764,171.1064506101508,BOT
9,129.04684638773304,127.35665556340226,BOT
10,139.54348335238095,134.8363645094844,BOT
11,201.68131449438474,196.41449988693205,BOT
12,213.61816686933332,217.04297542890512,GIO
13,136.16478594663226,133.88691964778272,BOT
14,144.6059949196094,148.94132901106948,GIO
15,136.1834287857305,129.18808598052152,BOT
16,258.73848172550515,257.1620830933333,BOT
17,140.14462208977437,138.97413558857141,BOT
18,206.35019349319123,206.61539396459762,GIO
19,135.08437046093158,132.41081633457577,BOT
20,144.45999854898525,148.22297126262308,GIO
21,127.43728133636068,122.60411992489108,BOT
22,158.3332374560638,148.7145563982684,BOT
23,228.30711795555555,215.37368295245258,BOT
24,244.70693957877532,234.89237020259742,BOT
25,,264.4416682666667,GIO
