Minisector,OCO,MSC,Fastest
0,292.66851165201786,295.54921399602216,MSC
1,297.347984628254,307.10966698666664,MSC
2,159.0695110885255,164.89709396651637,MSC
3,221.2531025822436,216.65418164299143,OCO
4,276.0587805852814,268.08038075933194,OCO
5,302.6032995856054,286.9977777840506,OCO
6,308.93651721094875,293.9221727238095,OCO
7,180.32654475586406,188.3169104279123,MSC
8,123.40825434916214,120.161212252821,OCO
9,247.32364382538526,244.9748872292641,OCO
10,289.18467705044753,280.8854199547339,OCO
11,298.2243064888889,288.51420624762176,OCO
12,142.74180893942398,146.24378417764433,MSC
13,190.12148833260073,188.61287552045624,OCO
14,247.6436261298805,252.537039475492,MSC
15,195.35736890006686,194.30495893583517,OCO
16,206.45096316703882,211.43727983525812,MSC
17,203.3547435502301,207.5214516998347,MSC
18,238.4742440169697,234.57592665881893,OCO
19,272.0632335983193,271.58198755416726,OCO
20,286.40931681257143,287.823391322936,MSC
21,259.4445093225389,257.53200632800787,OCO
22,221.2312445562283,220.088619656922,OCO
23,193.31256039511982,197.28010937151168,MSC
24,257.4642622408242,260.56818575037596,MSC
25,272.63124880000004,278.5,MSC
