Minisector,OCO,LEC,Fastest
0,285.2504916078431,287.94632445490197,LEC
1,123.68855870789199,124.54855191436475,LEC
2,159.89655040000002,162.48960471814394,LEC
3,211.31068634531522,216.0029123243114,LEC
4,159.4989729681445,159.92390756825398,LEC
5,244.06558440715253,242.39644629783106,OCO
6,205.73181480000002,212.61564155151515,LEC
7,134.4975149343952,134.56510047807322,LEC
8,235.11124874666666,232.4188974857143,OCO
9,279.6578337961086,274.6224605672133,OCO
10,287.89947946666666,285.30784455947713,OCO
11,144.12110347933591,148.40793505285873,LEC
12,222.62252023768335,218.31081194920634,OCO
13,273.0391736952381,267.6710778352941,OCO
14,274.69673215157485,275.618387621034,LEC
15,99.70660212169943,104.35559011762966,LEC
16,218.17082620413692,218.78789597460317,LEC
17,276.4981002352941,269.80588159999996,OCO
18,300.22750016000003,291.66249758603624,OCO
19,313.29801603047616,303.9263019333333,OCO
20,320.53752743238954,309.95166656000004,OCO
21,288.43610927407406,284.738031800148,OCO
22,145.56733952864485,151.28542627096775,LEC
23,231.927460300839,234.120485724025,LEC
24,279.33529436862744,276.7171873333333,OCO
25,286.1666688,288.820832,LEC
