Minisector,VET,BOT,Fastest
0,285.3598010659739,274.7262958341737,VET
1,311.86628182939637,298.5689775219076,VET
2,325.1535718095238,311.7969444977778,VET
3,332.7794646857143,319.51645417142856,VET
4,337.07559535238096,324.2341411918368,VET
5,338.00595238095235,324.9509006863232,VET
6,206.37139636363636,203.02518729696968,VET
7,106.1849518918821,112.77184758741697,BOT
8,196.23198287418947,194.95297727867495,VET
9,271.1852000711111,264.3576845275815,VET
10,301.45342350476193,293.66328132380954,VET
11,174.1396712064397,165.91240233121803,VET
12,97.04070373307103,101.9530919667374,BOT
13,120.61235951707624,119.70998510673951,VET
14,227.62676941041522,224.82580256415608,VET
15,189.71845712171648,199.1028570742857,BOT
16,222.56540879576718,238.34906039743154,BOT
17,180.5526877885342,193.45342748923272,BOT
18,240.6202380952381,246.28926550751396,BOT
19,287.2225564773727,283.8133937047619,VET
20,254.21338974131788,261.2019608470588,BOT
21,147.75874788757199,147.1573729096393,VET
22,98.07213043848886,101.88071241126792,BOT
23,125.12921684897958,131.31883807117623,BOT
24,237.88730173968253,230.55812581333333,VET
