Minisector,SAI,LEC,Fastest
0,285.56993851487533,291.6894671067105,LEC
1,295.47451794952445,303.0333137833873,LEC
2,299.8556573641949,308.2472222222222,LEC
3,301.01200945143603,305.75578277258484,LEC
4,174.07662870385076,166.48607512645626,SAI
5,203.93662969095644,208.13990132949039,LEC
6,213.79869568844558,227.6507207426854,LEC
7,253.80024624083958,261.4291110738539,LEC
8,268.3272842084979,259.6802796394188,SAI
9,166.75263084124808,155.82218311104253,SAI
10,230.30386459805095,227.10163127495298,SAI
11,140.39213020311092,137.17286293449595,SAI
12,217.6977665411391,226.8960836649771,LEC
13,201.10040650033255,191.72547335188324,SAI
14,209.9898924373092,213.55571620133205,LEC
15,244.11570929245943,237.2320996785372,SAI
16,254.77553546885557,257.3435938961689,LEC
17,277.98732287480334,284.2165455735012,LEC
18,156.98374269788647,132.42410165123016,SAI
19,155.70240291556408,163.87326146703302,LEC
20,145.34089214095218,143.50974602732077,SAI
21,172.46823337454975,159.33897154927567,SAI
22,118.38327689173502,118.96199886151742,LEC
23,218.59765649833594,227.90829138799967,LEC
24,265.6019806140217,270.1068295243851,LEC
