Minisector,LEC,HUL,Fastest
0,237.54768283061009,228.78745317325107,LEC
1,287.59235618622307,278.73279904022075,LEC
2,303.1949699899354,294.06785846219077,LEC
3,309.9636157013151,303.1010629688766,LEC
4,268.6471653681669,269.0645189271183,HUL
5,171.31254093332274,163.51382574361293,LEC
6,267.0585447383432,257.28674744088653,LEC
7,285.77874890927865,278.6141305507246,LEC
8,220.44815776688225,214.79409346458675,LEC
9,226.05128339924903,218.15316399523314,LEC
10,184.44266421203673,184.41904991238042,LEC
11,227.36564670164577,220.18254169739726,LEC
12,210.32387910747016,205.32341033271058,LEC
13,216.45474494754157,213.25237916422455,LEC
14,227.37618839961502,216.97452406509933,LEC
15,184.81074349788852,178.86491259365837,LEC
16,252.7855169402003,243.51661183579796,LEC
17,292.13089893356874,283.32373916263475,LEC
18,305.89702389841267,299.38638316713275,LEC
19,301.6601901286389,298.93977338181816,LEC
20,133.94418149284485,129.15879453661617,LEC
21,165.7557472485355,156.92606654334926,LEC
22,149.2613210154159,155.28865033937635,HUL
23,208.71683581282332,201.8336809241167,LEC
24,149.61363455311027,146.75680324157528,LEC
25,191.31799690229371,,LEC
