Minisector,VER,OCO,Fastest
0,255.10535934587807,254.37725510112685,VER
1,221.06995080230539,213.0031130746244,VER
2,204.2910102196425,202.360476561338,VER
3,258.21282116633864,255.59800236098414,VER
4,275.2517346723527,267.8137660468755,VER
5,287.6114851605995,289.08637361744695,OCO
6,170.07505059601982,163.90914827344537,VER
7,189.88894623765142,182.8518645019791,VER
8,269.6307264470532,267.5022261754929,VER
9,292.7562139120273,293.42728916236535,OCO
10,303.24102307850285,304.2064495544777,OCO
11,300.37806178232415,309.51345487480756,OCO
12,119.6658958055113,112.89546522802118,VER
13,184.15423425565527,185.96020369707898,OCO
14,270.394618400106,272.1149095491869,OCO
15,295.28921844631805,296.8676826409122,OCO
16,297.66439393939396,304.16079182647474,OCO
17,190.2776190111083,179.837733055336,VER
18,226.31682827383847,220.50829495877605,VER
19,268.38559063499935,263.63621646244627,VER
20,156.42020245986512,149.97375427936024,VER
21,155.0551019907787,141.8932234128956,VER
22,222.5148559035716,219.39289901489573,VER
23,237.35938071194778,223.0938868590669,VER
24,165.02075413376258,156.52299887505123,VER
25,230.208336,,VER
