Minisector,OCO,VET,Fastest
0,272.32795919774844,270.2652687610214,OCO
1,292.3969236021027,288.5133745341799,OCO
2,269.02184759259256,271.65751440577196,VET
3,153.88721159441795,153.86911208008877,OCO
4,194.28856086629148,188.88685446830345,OCO
5,167.63763148839507,166.8436746160684,OCO
6,157.8368713331189,155.9612997419372,OCO
7,188.94413437908497,186.13029741222263,OCO
8,239.41105944151755,236.44834213469386,OCO
9,217.2903833150019,228.45618829660614,VET
10,137.37948259452585,141.72649004225661,VET
11,218.50089222128221,213.48904152380953,OCO
12,110.56909520038471,108.33313597307581,OCO
13,211.00423504449543,209.11671335076477,OCO
14,263.67687599891156,261.00305532444446,OCO
15,270.5570544216133,269.36523885714286,OCO
16,169.98465209933536,171.94181297798843,VET
17,156.5931405739305,155.42280419278092,OCO
18,251.79931411128868,251.7713662191342,OCO
19,280.88914583141366,277.75651134749853,OCO
20,293.88332070175437,289.5137183695238,OCO
21,282.00306225452897,278.212860016899,OCO
22,218.80932935520738,230.74439688800535,VET
23,101.37420197598857,100.00976050051436,OCO
24,225.2609305940983,223.08716922361307,OCO
