Minisector,RAI,SAI,Fastest
0,279.29682585396824,278.79153640350734,RAI
1,293.26416699428574,295.4212498133333,SAI
2,243.36596873272583,234.27639957809978,RAI
3,117.0462905127933,112.62248621885252,RAI
4,133.09828580854273,132.6537937458986,RAI
5,251.740356531677,248.5778038700355,RAI
6,263.5928738443832,254.3880767065645,RAI
7,125.56282805663183,120.78419046719411,RAI
8,246.45046701893986,246.0674043,RAI
9,258.62162657460317,255.29188588432962,RAI
10,211.2895001496018,207.97992622134646,RAI
11,141.65242306031746,143.98896206671753,SAI
12,206.1546363319728,204.68553163156756,RAI
13,265.5547053724435,261.71058510973086,RAI
14,118.93570559854575,118.79146204749914,RAI
15,186.92768003555557,186.224273926465,RAI
16,258.3791346852883,254.72246376811594,RAI
17,292.21044683428573,286.8662059305004,RAI
18,307.59727469874684,300.23135960701757,RAI
19,314.38456334122424,305.80375008,RAI
20,315.87060183703704,309.79978060350874,RAI
21,175.5575037365185,178.4315123728261,SAI
22,142.66315804225783,135.697700006692,RAI
23,202.62915817929826,201.28394405564825,RAI
24,238.89410396312627,230.88000042666667,RAI
25,,263.8367909276125,SAI
