Minisector,ANT,NOR,Fastest
0,283.4222383085236,291.6560317647452,NOR
1,153.78787376556662,160.32948720179385,NOR
2,165.8208445846184,161.86212728957534,ANT
3,246.96024367171503,242.16718074829933,ANT
4,267.8673684210526,264.00375138665487,ANT
5,245.0464203491364,240.82794479177144,ANT
6,214.88876695511024,212.7955665387561,ANT
7,143.52167826363387,143.87759967532182,NOR
8,227.58339902268398,225.9912351541195,ANT
9,299.32839673377197,298.4259583670408,ANT
10,321.107436033115,322.78619625574424,NOR
11,325.48754167466666,323.013837449266,ANT
12,317.96399697234295,315.28897467915516,ANT
13,310.8164457825427,310.92537790075187,NOR
14,125.367183438346,126.88892510833286,NOR
15,115.74442709599639,117.01152235488955,NOR
16,99.12454581327354,97.83298517296156,ANT
17,239.94448240899473,244.76514691352094,NOR
18,306.15584704903864,306.4297497252515,NOR
19,317.6121522309775,326.48253314729004,NOR
20,314.8109062533333,328.20537540335664,NOR
21,312.5970944296613,323.14664946262627,NOR
22,122.75939297044481,127.95770870219697,NOR
23,205.85184332538415,203.6077009383385,ANT
24,269.99526363659464,277.4113553485815,NOR
