Minisector,ALB,COL,Fastest
0,284.14724986915826,294.0166708881957,COL
1,152.66772213248112,152.06264740489408,ALB
2,148.29081190526438,155.3167800092909,COL
3,221.08596353812243,223.71978424250136,COL
4,286.9037064510529,287.4639826841834,COL
5,283.7309028642856,289.3266337015873,COL
6,136.83074600848764,142.68317620592376,COL
7,137.38466629756613,137.4442412362741,COL
8,126.9017691158403,136.75893997764373,COL
9,184.54311564633417,178.5625176839398,ALB
10,121.89409297499061,126.10738728696383,COL
11,128.043182859362,129.6807999011951,COL
12,164.29158430585318,156.88517743578646,ALB
13,266.8716521679238,265.65793990405876,ALB
14,291.5685513473016,288.23056564571425,ALB
15,149.14963383265805,146.2281228011695,ALB
16,199.14124482859845,206.6593323512636,COL
17,171.84282773176014,160.5678611359337,ALB
18,269.059352813818,265.11533703326006,ALB
19,293.99107688727275,293.3118079333626,ALB
20,309.1799181161544,308.41335676725697,ALB
21,318.98725660259737,319.09716965257144,COL
22,323.9382633139492,325.3611319271512,COL
23,326.6711842021053,328.20550003200003,COL
24,325.21932274539586,326.9702845432299,COL
25,,322.96749952,COL
