Minisector,HAM,VER,Fastest
0,294.17166097828573,304.8286494532416,VER
1,305.68451135839604,327.41584548741025,VER
2,280.86212358978355,282.18698577632654,VER
3,106.4866737708828,105.95947036184491,HAM
4,218.14593040680273,227.41926495002153,VER
5,275.0020731652762,288.547539047619,VER
6,209.8344094664127,194.32476599692052,HAM
7,152.9648816022641,152.6659877155717,HAM
8,208.51298408063656,208.6098524804081,VER
9,216.2846658234074,211.9009426978155,HAM
10,114.16470130643204,119.17644487564752,VER
11,230.066405145984,228.73097383836736,HAM
12,124.98718921203337,116.46822816154643,HAM
13,226.11964656897868,225.98742093732835,HAM
14,279.8386175597976,277.1082253331839,HAM
15,210.11224571094172,204.44708925597982,HAM
16,188.08593351731102,188.6894911666939,VER
17,250.4576613260606,246.08595942626263,HAM
18,195.77658867543838,183.25809868348793,HAM
19,177.1644052817244,188.5108467336856,VER
20,264.88924974241024,266.66384142237865,VER
21,288.92524230966507,291.19652801066667,VER
22,172.33672619458756,156.9237572492932,HAM
23,215.30399677761318,219.28063769533378,VER
24,274.7495668713256,273.6620046324285,HAM
