Minisector,HAM,PER,Fastest
0,288.9189585066666,307.35356447411147,PER
1,293.0325937980324,313.30234469467786,PER
2,168.11587285751708,162.13814438941068,HAM
3,235.9510424,229.865346262956,HAM
4,280.1290590510261,285.7585726500792,PER
5,298.0190671461531,307.83799052549017,PER
6,303.96127454117646,312.4247684740741,PER
7,153.66710677183744,151.7742243460222,HAM
8,149.49766274612244,141.34305261443976,HAM
9,256.9416100742134,260.210545168254,PER
10,286.83932737566136,297.9980217739306,PER
11,297.6914926793148,295.73698336080844,HAM
12,148.3254398069794,139.81577320916512,HAM
13,210.29551138048146,209.124553189657,HAM
14,269.44686850167943,264.6093256634921,HAM
15,210.42828006061723,199.50393455740215,HAM
16,228.67564207373525,228.6173661217391,HAM
17,223.31738062019048,216.61665178365925,HAM
18,253.53529720394195,248.9191753156164,HAM
19,280.97412376666335,280.6593755733333,HAM
20,296.88157911578946,293.5402040562214,HAM
21,267.5598610544849,261.9849917897388,HAM
22,228.20544033443147,222.16929827386107,HAM
23,216.97020463247623,215.06547968964412,HAM
24,273.7835323574012,278.2530663847619,PER
25,289.4166677333333,,HAM
