Minisector,RAI,GRO,Fastest
0,296.0720760981288,291.19309677876,RAI
1,306.94611107555556,298.15000064000003,RAI
2,170.01679199616174,161.53054235704653,RAI
3,230.35118958730158,221.95208325333334,RAI
4,284.79236990156073,271.51666714074076,RAI
5,303.23422605714285,294.0156248,RAI
6,309.890625,303.1333331911111,RAI
7,177.31704328894307,174.21812648315048,RAI
8,132.714963412128,131.55784040489795,RAI
9,256.002394369884,249.5779338495699,RAI
10,287.4477178565079,284.11718766666667,RAI
11,299.2546568853312,296.5588230901961,RAI
12,153.77609770733042,148.62403705855587,RAI
13,193.70889493959683,195.11314157170887,GRO
14,264.7362455483512,257.4265969466669,RAI
15,208.61179835151515,196.99991295555557,RAI
16,224.0427852184333,218.9768949818182,RAI
17,218.10227345454544,208.85102794805195,RAI
18,246.61907811929822,240.86937905608465,RAI
19,280.0714700423529,271.9635877764506,RAI
20,297.3296872,289.304948,RAI
21,266.82526213333335,248.56087124308738,RAI
22,231.51901625955577,216.2950394920635,RAI
23,211.59239058550725,198.85572995555557,RAI
24,270.07972242067194,262.6550936296296,RAI
25,286.5249984,281.05,RAI
