Minisector,SAI,OCO,Fastest
0,255.17038784761903,257.09007261176424,OCO
1,205.30563648179273,207.08292304761903,OCO
2,218.02343869999999,214.98226941715677,SAI
3,263.51556850392154,254.48505438256356,SAI
4,275.7495002026667,273.66000041813334,SAI
5,216.5208950491859,218.1491584251768,OCO
6,93.46862643063685,94.00908797981867,OCO
7,183.27972457788675,181.5942838270026,SAI
8,275.20478754920634,267.9126049423616,SAI
9,308.7606333991342,290.8970488,SAI
10,320.65747185442274,300.1189353438228,SAI
11,313.7174234666667,300.28387626666665,SAI
12,112.48272336099694,110.2230565471761,SAI
13,211.8204881023016,210.80706286598746,SAI
14,275.12383368533335,274.567000448,SAI
15,293.5636646492753,297.02724381285003,OCO
16,223.9523979142857,223.82217520860215,SAI
17,121.96218668273184,121.23144620554226,SAI
18,151.53077117019217,149.71749811779134,SAI
19,251.0354941798942,252.02006216578482,OCO
20,153.6754449665925,161.89836945939393,OCO
21,129.1700302556359,127.06273123473085,SAI
22,201.76170218230152,195.6687048425358,SAI
23,206.89399457254902,203.34545094364145,SAI
24,164.202527760408,162.22063470022619,SAI
25,228.41666986666667,227.96874933333334,SAI
