Minisector,ALO,PER,Fastest
0,298.76567464126987,297.9229166222222,ALO
1,281.17429769701823,278.5921075157375,ALO
2,176.38876433354972,174.61116949856932,ALO
3,200.3796719298183,207.18801356644377,PER
4,218.73516846202875,217.0403118751613,ALO
5,264.9682997900763,264.5978041221128,ALO
6,235.1696080995966,227.21028502891187,ALO
7,208.42929263838383,213.30382779649554,PER
8,182.23384347378547,187.33058197807776,PER
9,154.94888046999748,159.0646249669052,PER
10,189.57379153704002,195.84879549035392,PER
11,189.7917952461601,199.84321592280472,PER
12,189.76334138076226,243.5762787526267,PER
13,166.56729869253877,174.23587966691508,PER
14,247.03088854057498,237.64584308073353,ALO
15,272.25094104863354,270.8119996708572,ALO
16,261.6848755510044,268.765000192,PER
17,255.23831990937262,263.35464764835166,PER
18,249.9977057800935,245.17241564072052,ALO
19,241.9404772190476,252.30370421728392,PER
20,260.50117490614406,255.55700398030007,ALO
21,189.57828812895187,214.15812521781874,PER
22,224.4733688400325,203.466987911384,ALO
23,274.2162689269841,266.91149896533335,ALO
24,291.6257125524969,287.45313138331534,ALO
25,297.3041674666667,293.72986080000004,ALO
