Minisector,RUS,OCO,Fastest
0,288.7094958185941,292.8197994880576,OCO
1,297.5340441411765,304.0668686847619,OCO
2,301.03729949946523,309.8550068614617,OCO
3,298.78508719157895,301.6589416121009,OCO
4,167.86085449335303,160.84357813348726,RUS
5,207.72601959866347,197.64776819129392,RUS
6,227.45609723555555,233.54260680709203,OCO
7,259.97889637434264,265.7172895154765,OCO
8,255.72731292721204,253.15884588188064,RUS
9,162.32742247823617,158.94859532451957,RUS
10,224.3441312952053,219.47282747567098,RUS
11,134.1859757373189,122.84650028765229,RUS
12,226.65081925315582,223.35737644346764,RUS
13,183.1548811310451,175.45921548652709,RUS
14,216.4093277822465,209.91485598273016,RUS
15,230.02200490143338,238.66015375891132,OCO
16,254.21227205756435,262.57291614984126,OCO
17,279.27628251877724,283.43188574877195,OCO
18,155.0580302020235,149.44196978814813,RUS
19,166.88518593976767,160.9535536751437,RUS
20,141.4121574704357,134.55322516406954,RUS
21,221.71867680984124,227.8008643200154,OCO
22,255.58669471200793,263.80629391056203,OCO
23,243.5028195812197,246.92661285799676,OCO
24,268.05269185994047,275.0078929896296,OCO
25,280.7928576,,RUS
