Minisector,BEA,HUL,Fastest
0,302.3240396547952,303.458729556894,HUL
1,225.20477670445212,238.23440210566463,HUL
2,131.7889340802278,128.8503809711722,BEA
3,235.2996773827119,239.9076745714224,HUL
4,198.27111191070236,189.73782079766428,BEA
5,250.44522657424662,245.90991518210623,BEA
6,235.83983075100167,230.3611928319805,BEA
7,258.26833339863947,255.3290508861374,BEA
8,290.7587892248196,290.5630261303406,BEA
9,201.5922338962963,210.99497770538045,HUL
10,207.36353958415495,206.31927032350941,BEA
11,275.4874701076276,274.8726462564468,BEA
12,213.39135594995332,212.88818707802474,BEA
13,253.39890059678697,251.4313573490373,BEA
14,292.8065217762319,291.5088435252623,BEA
15,307.07198723920766,306.7775571106629,BEA
16,312.4372727272727,307.09953720882294,BEA
17,212.94223900208112,210.86902582251363,BEA
18,262.4677313800577,262.66648267752197,HUL
19,295.2771174703957,294.19836448848486,BEA
20,309.10305383022774,308.8621088435374,BEA
21,313.2838175767259,310.8484497386478,BEA
22,153.29869515114908,151.62362388669519,BEA
23,235.39478135919157,236.052373623873,HUL
24,282.7480293829539,286.1584824495238,HUL
25,289.4086019729447,,BEA
