Minisector,RUS,GAS,Fastest
0,303.4850731006984,306.29041849007626,GAS
1,313.4861109894737,313.3435492371882,RUS
2,305.0692694293996,305.040798496649,RUS
3,176.2619034501852,183.15779507926555,GAS
4,221.43929390540282,213.73297296534443,RUS
5,200.67846935132906,194.2750220080022,RUS
6,178.48021769049,177.92708535140807,RUS
7,206.67704085764933,206.17589535183427,RUS
8,255.9959368257047,253.12258874305252,RUS
9,259.81040429758616,247.5536689179763,RUS
10,177.99115773138442,170.84182386527854,RUS
11,229.46480303576885,233.0679123153187,GAS
12,124.21497292059358,121.70628989405795,RUS
13,245.4171040500122,239.10247505548494,RUS
14,276.73019900061024,275.63446122221137,RUS
15,273.8458394795604,273.71936872242424,RUS
16,218.37570111781437,202.46055312875805,RUS
17,193.80424983811446,200.0809782706643,GAS
18,295.762570344583,288.99670099706293,RUS
19,332.5537826238219,317.80785106147187,RUS
20,345.4600002234921,316.60328795807214,RUS
21,321.07166987791004,294.82979776468864,RUS
22,279.0775841536204,245.70200435809525,RUS
23,122.80674021725595,124.38662394073033,GAS
24,245.65561463452656,251.52002298256411,GAS
