Minisector,BEA,HAM,Fastest
0,302.3240396547952,304.9373891555957,HAM
1,225.20477670445212,236.2628714138351,HAM
2,131.7889340802278,130.64283335070755,BEA
3,235.2996773827119,239.90483706489206,HAM
4,198.27111191070236,191.26712426383253,BEA
5,250.44522657424662,239.449595388689,BEA
6,235.83983075100167,228.00980110417234,BEA
7,258.26833339863947,250.85328552563809,BEA
8,290.7587892248196,293.4998270072245,HAM
9,201.5922338962963,206.12935622462118,HAM
10,207.36353958415495,207.92920890653147,HAM
11,275.4874701076276,277.4222359837028,HAM
12,213.39135594995332,205.89195435605578,BEA
13,253.39890059678697,255.07413434357042,HAM
14,292.8065217762319,295.75613217070446,HAM
15,307.07198723920766,311.62294570766176,HAM
16,312.4372727272727,315.22127975328794,HAM
17,212.94223900208112,209.7905222113243,BEA
18,262.4677313800577,265.24051733450545,HAM
19,295.2771174703957,301.395611872724,HAM
20,309.10305383022774,323.5586384594609,HAM
21,313.2838175767259,327.0712297904762,HAM
22,153.29869515114908,153.5774032549012,HAM
23,235.39478135919157,243.44091325109054,HAM
24,282.7480293829539,299.2580009394663,HAM
25,289.4086019729447,,BEA
