Minisector,BOT,SAI,Fastest
0,287.553081707563,287.6426458352941,SAI
1,136.2684770995889,126.47827362265106,BOT
2,155.52211814632577,149.6344940723196,BOT
3,223.8990559080015,223.99206273015872,SAI
4,167.38339763451478,157.11384160467574,BOT
5,245.47896719555692,243.9224542222222,BOT
6,225.00416789333335,211.10760575072464,BOT
7,138.1612749490196,131.50122410039216,BOT
8,235.12416602666667,232.72290577224538,BOT
9,277.2435112346717,278.59173714285714,SAI
10,286.45807386666667,286.63999188571427,SAI
11,151.9737194961511,144.19147512539539,BOT
12,220.56541685333332,219.4272465177489,BOT
13,270.65980878127954,272.27919449996836,SAI
14,272.75882202352943,288.04305564444445,SAI
15,105.50541804657988,115.66882547384128,SAI
16,218.5573684182224,194.30146203982684,BOT
17,271.27968516285944,264.9793988740741,BOT
18,293.1841148,292.0265628,BOT
19,304.5282937498413,305.6971429892064,SAI
20,310.9295771270296,313.0845239238095,SAI
21,295.0631298761905,306.51901888608717,SAI
22,157.24515371556672,156.78749955555557,BOT
23,232.5189359458854,218.06278318278234,BOT
24,276.56586178151264,272.7078779666667,BOT
25,287.14285714285717,288.63333404444444,SAI
