Minisector,OCO,BEA,Fastest
0,282.9825493127075,284.83803100952383,BEA
1,296.8206221256288,300.185423079873,BEA
2,242.3905591619051,235.77218901542852,OCO
3,115.88446031822549,113.79736818129975,OCO
4,137.26473043677808,137.57681233096,BEA
5,253.14878305273206,253.78959464364576,BEA
6,272.19514932987016,260.7291372032459,OCO
7,123.43808883670899,125.0001238272588,BEA
8,247.64973953174092,247.3374206661285,OCO
9,266.0412464397187,252.46984007794873,OCO
10,203.9271792105149,198.84513718210053,OCO
11,141.28026134980448,137.84442651950923,OCO
12,206.66704779059583,208.53232747284503,BEA
13,267.92785591618804,265.70181405138663,OCO
14,121.18968753197696,118.06818545858324,OCO
15,194.77406246597107,197.89174072690827,BEA
16,263.68611773859254,261.9499845833567,OCO
17,291.78575502614717,291.9322363348571,BEA
18,304.91328750193776,305.118278985865,BEA
19,310.9573214780952,312.4403507649123,BEA
20,311.80527204716554,313.0379358703585,BEA
21,170.35259530900152,170.1945061019396,OCO
22,144.85805581391293,155.82512423262258,BEA
23,204.57344269502343,204.72789310013135,BEA
24,238.77208922980822,243.33588286820927,BEA
