Minisector,STR,RUS,Fastest
0,316.685191384669,298.2225074952657,STR
1,156.44990107347655,164.16274690398532,RUS
2,149.0349767061369,156.87579111975234,RUS
3,230.19177380498593,226.26754047920844,STR
4,285.83301698782367,284.22683408618514,STR
5,291.91288737391307,296.97015811091785,RUS
6,142.47592464571684,148.8463316563072,RUS
7,139.20883160349553,152.21851653691493,RUS
8,143.2797517294309,155.86338014476192,RUS
9,189.5224679783448,171.4054020753581,STR
10,126.86280589651237,134.94650322494118,RUS
11,125.81076259297744,133.0177495040721,RUS
12,175.26163602929057,161.2648178556881,STR
13,266.9387610777401,265.28781412635493,STR
14,291.0744332922737,291.33982602708994,RUS
15,146.87799856317432,154.45620080893394,RUS
16,205.63286498408976,220.24993309134007,RUS
17,162.1466083460782,168.05018372074923,RUS
18,268.0776154148571,267.6270223787598,STR
19,295.7443026597102,293.5450215873016,STR
20,310.5974117010101,305.0780130051282,STR
21,319.13668472436365,312.8998457457447,STR
22,325.3952958596248,317.1737014995671,STR
23,328.80902936929294,318.88265632,STR
24,327.9589597000756,320.07204088163263,STR
25,,320.0,RUS
