Minisector,RIC,BOT,Fastest
0,231.19609627101815,233.14811129540712,BOT
1,285.11307124419045,288.40678682320134,BOT
2,312.1759126160201,313.36992732753623,BOT
3,325.15327973244695,323.14715985721557,RIC
4,282.7261886945055,286.0751925679951,BOT
5,158.53039215525968,162.37480746918695,BOT
6,254.29704315457622,257.16987106161827,BOT
7,269.27822525096127,273.7011218051282,BOT
8,212.56365887478273,209.9063353361243,RIC
9,216.1592074853665,216.14982584200072,RIC
10,178.8588113456394,183.22111465956422,BOT
11,221.5751060927078,220.08228722537947,RIC
12,202.70348693726217,200.75162276515562,RIC
13,206.01556094107596,206.37019526593616,BOT
14,214.8487462554864,214.58442082055524,RIC
15,177.44086449608398,177.69647636327872,BOT
16,239.94358105244302,243.8509656574441,BOT
17,276.92215798146503,283.9018980636908,BOT
18,283.64897633836785,294.21336810158726,BOT
19,275.16923142564104,277.9311729777778,BOT
20,131.74993031403125,127.82099624045648,RIC
21,162.22019605513782,156.97398673566613,RIC
22,144.67433404651283,152.7019013200828,BOT
23,202.2981788466077,202.78417089821886,BOT
24,143.70216499254985,148.66819755689212,BOT
25,180.56667306666668,,RIC
