Minisector,RUS,NOR,Fastest
0,303.54930083321904,317.992055379317,NOR
1,140.81160078486857,145.19702057916,NOR
2,215.67041669333335,220.02452509707592,NOR
3,274.8898393946149,277.2687675911111,NOR
4,312.91494047577027,312.99635319338574,NOR
5,319.5001468302792,322.08684035932646,NOR
6,150.73846895131675,155.45122498263842,NOR
7,246.23947447641325,248.87954895817322,NOR
8,120.05506878163062,121.1468650096332,NOR
9,130.8947958883589,145.24709556109093,NOR
10,267.8922547162138,268.1471237040533,NOR
11,299.26378213818185,295.73669674752495,RUS
12,259.14005094352007,263.89632371866423,NOR
13,155.98986832756384,162.77495861187282,NOR
14,267.73671003437454,272.8507978743643,NOR
15,304.41666211601733,306.6799918698465,NOR
16,319.8615603153623,323.13029505253263,NOR
17,330.6509482076564,330.6682531040994,NOR
18,335.8096102508642,334.6050907032369,RUS
19,335.3368985498413,338.52769276371885,NOR
20,239.83431099908287,249.51022699573696,NOR
21,149.05805223321715,150.2767646217517,NOR
22,271.6831873484058,275.19917258906617,NOR
23,308.66782079125977,310.308728812977,NOR
24,324.4693523428571,320.47500891330145,RUS
25,324.0,320.9839282285714,RUS
