Minisector,VET,GAS,Fastest
0,267.5128134790148,260.07992682041584,VET
1,129.48903428993637,133.8301186252415,GAS
2,200.656002362292,198.24884321185183,VET
3,250.49417123220232,244.80516626694364,VET
4,264.2025578072658,260.92454875930446,VET
5,173.07805855700605,183.5162043280922,GAS
6,142.35569847796899,151.03673660301402,GAS
7,183.39871334419834,189.5786625954246,GAS
8,100.06488931323997,106.51034093675575,GAS
9,72.93139594008987,77.5245081030543,GAS
10,93.73847195072713,97.53906338288995,GAS
11,182.8733216605777,183.51475874952067,GAS
12,248.06122401088436,242.77292871475476,VET
13,271.26603503569635,265.67684840869475,VET
14,282.6308991748247,278.56726919797387,VET
15,117.21595383131825,124.41430099991781,GAS
16,142.61169641085024,140.26957817676265,VET
17,181.31651829333333,192.15526315789472,GAS
18,197.69217585202875,195.66155164284578,VET
19,200.03645363641857,211.45506138459984,GAS
20,129.64794721492981,136.84651258273385,GAS
21,109.5005810486907,124.0510312115263,GAS
22,94.82238950525048,94.19877081931953,VET
23,197.07777860045877,194.1986500485969,VET
24,253.20322454941004,247.52695344396702,VET
25,268.1666666666667,260.9374997333333,VET
