Minisector,PER,SAI,Fastest
0,257.43447970088187,260.28247398717394,SAI
1,223.03592912696973,221.74236844226505,PER
2,141.54317311082505,145.59160489876544,SAI
3,237.55043451169894,242.85488040257775,SAI
4,267.0708331093333,269.954736952381,SAI
5,171.26624343893118,176.88178881058042,SAI
6,99.0424882621806,97.80535293312215,PER
7,137.99364209628993,137.40513170655933,PER
8,249.81333794318198,252.19520579164833,SAI
9,167.54627362879947,164.02503434874777,PER
10,182.69208901661008,186.43680427456746,SAI
11,257.8520740466781,259.3631305640325,SAI
12,243.5372599784142,249.63840436043955,SAI
13,260.19877831296776,267.27024791500406,SAI
14,283.58835026756816,286.80199257971015,SAI
15,269.0560215139591,271.67275505397515,SAI
16,135.15131040421338,139.90053427388452,SAI
17,230.82984205999566,235.88183149151996,SAI
18,277.976449715942,278.6724635826087,SAI
19,288.963586968116,288.90346787246375,PER
20,291.69813314632034,291.9429347246377,SAI
21,296.54438409275366,293.23667933737374,PER
22,141.23106721382618,144.37835395607385,SAI
23,80.56143746330567,84.49801613404672,SAI
24,155.16632168284204,169.7878197059829,SAI
25,236.60416533333333,,PER
