Minisector,HAM,RIC,Fastest
0,293.51901485104764,285.8899128633555,HAM
1,219.47775928562356,204.3184907972286,HAM
2,230.49535368806679,229.30063331470643,HAM
3,274.214720291542,270.14713266996824,HAM
4,248.43452720958155,241.85030611696067,HAM
5,127.70006109745242,131.48899862729834,RIC
6,210.6823151666058,210.22579515576547,HAM
7,256.4225438645063,258.4742614401616,RIC
8,245.28415768911148,241.9563964514152,HAM
9,233.91914271024763,230.0555011646984,HAM
10,273.4077709206349,272.4553747559116,HAM
11,292.7288322818471,289.3907335205776,HAM
12,301.9382331555555,299.44845481058985,HAM
13,306.6216618969697,304.89595239619047,HAM
14,301.15473025254903,298.9607370565079,HAM
15,254.65214162692064,253.02570679175008,HAM
16,243.05536007486543,239.63947326960874,HAM
17,277.1314758664662,276.57753585546595,HAM
18,285.3997894252819,282.4660225890909,HAM
19,160.7392265360581,150.99674003907165,HAM
20,209.5854820867577,210.22464146584622,RIC
21,189.0313772127961,185.4690814998286,HAM
22,136.27991038281144,136.3568056222364,RIC
23,229.1800849610921,234.4648304378538,RIC
24,276.9679835363265,275.8176503141544,HAM
