Minisector,BOT,VER,Fastest
0,319.7487155729323,332.36087096942356,VER
1,327.2125,337.8958333192982,VER
2,323.8370699936508,339.04999999999995,VER
3,167.34453977512507,169.6179965530889,VER
4,140.01978873924799,135.53281744253968,BOT
5,271.47310970289703,268.13019328003185,BOT
6,302.02810759164976,299.9475,BOT
7,315.2281250666666,307.7342292128621,BOT
8,249.51784271992773,256.7234375,VER
9,156.3597515229451,152.54419081948745,BOT
10,224.86050862983322,221.2195533202143,BOT
11,232.23747350823774,231.05826374790675,BOT
12,210.57481695792904,199.75151728456356,BOT
13,279.19873238260874,274.01349187936506,BOT
14,310.0471175136869,308.4789792074317,BOT
15,316.6817981192982,319.94342108070174,VER
16,260.91475595555556,258.46274786031745,BOT
17,215.5724509335409,215.71498454273177,VER
18,277.9448055757576,277.7324458020994,BOT
19,308.58509902509945,309.5158534806326,VER
20,321.7124060551379,323.4682016481203,VER
21,306.2959092364648,298.60492421818185,BOT
22,219.52032028899833,218.7811111271201,BOT
23,273.5589885866329,271.4540904212873,BOT
24,306.2400794920635,306.708706453203,VER
