Minisector,HAM,RIC,Fastest
0,291.13088402341856,310.9730911078402,RIC
1,301.0930643279503,327.33684557714287,RIC
2,275.3403730804799,284.7876503416006,RIC
3,116.39511041312467,111.06261744153103,HAM
4,228.1167091115613,232.2190066285714,RIC
5,272.09077165936293,287.2233594702762,RIC
6,219.39770962380953,223.65390306666666,RIC
7,175.17917701278245,174.2600487438645,HAM
8,209.23914104242425,214.18810285295908,RIC
9,217.9268068580979,225.34172884823064,RIC
10,120.24437897207484,119.59545277515132,HAM
11,229.80277735111113,233.089307661009,RIC
12,121.90216956276115,121.98092677505592,RIC
13,229.66353073529797,229.26503188459805,HAM
14,274.125166976,275.1090283111111,RIC
15,218.2051564263677,213.53662059301655,HAM
16,210.9211508,204.51953217347364,HAM
17,253.81244881783243,252.9137133069597,HAM
18,207.08610922020202,199.61812954590454,HAM
19,199.2680731706898,191.64006189953204,HAM
20,267.49573883733336,265.520074828665,HAM
21,287.1385868985507,288.98768436490883,RIC
22,172.98317359942627,165.0719926916216,HAM
23,222.18158006121834,222.53217154174212,RIC
24,274.7913414843197,274.55258081113334,HAM
25,285.72636810217574,,HAM
