Minisector,PER,ALO,Fastest
0,262.4482090806734,260.25618430139366,PER
1,137.79127154127156,133.15966660533485,PER
2,265.7259196943017,268.39036502521793,ALO
3,306.4120999832381,309.0373477537278,ALO
4,306.3172004598353,308.52726204830475,ALO
5,314.65152259482096,314.88872689185183,ALO
6,317.45418576980745,317.18676666880003,PER
7,317.10282118888887,317.8313595753992,ALO
8,208.65333461133076,197.32356327245688,PER
9,208.01271009950736,205.5576975029077,PER
10,194.86278064088202,177.53069941804966,PER
11,184.54334948669108,169.77442148377293,PER
12,256.5613464876987,256.9398927484648,ALO
13,285.334853987483,273.5240243214382,PER
14,286.68059053961497,282.87646558875286,PER
15,283.85641182365595,253.14127582689375,PER
16,189.55658883779336,168.05167915384146,PER
17,198.94581966368506,195.22526875673006,PER
18,246.15318881887254,247.06857205369863,ALO
19,289.09821930926324,289.49276859477874,ALO
20,304.6614025366598,307.6141553135043,ALO
21,310.81722755897437,312.4302392963975,ALO
22,308.35862580470024,309.5337773564835,ALO
23,255.05640797341152,232.31734422696758,PER
24,128.89309860727425,121.98985205918922,PER
