Minisector,TSU,ALB,Fastest
0,254.01202240815462,257.70713721405593,ALB
1,134.89304473936508,127.10383860536028,TSU
2,201.41626872898922,195.88596331851852,TSU
3,244.92215160090703,245.13293846521316,ALB
4,256.3753447253333,252.69059776703295,TSU
5,179.54631660003798,163.74809881962162,TSU
6,149.6344956289293,141.6465502890726,TSU
7,193.22740739047617,185.11709218486214,TSU
8,104.70949940991747,102.62816298659781,TSU
9,74.65098018307171,68.82162418692326,TSU
10,98.10999095853248,97.38194095785246,TSU
11,181.59009404349376,187.4205988786032,ALB
12,241.89079864161724,244.85081961142856,ALB
13,264.4061114666667,265.70733103436504,ALB
14,275.6762470791177,272.62980469743593,TSU
15,106.66280044936049,101.36391692533816,TSU
16,153.8894127574651,157.00229086202688,ALB
17,180.54205741155556,169.6258768334442,TSU
18,200.72226162554006,187.92394976399984,TSU
19,206.20367048,200.5081113050505,TSU
20,142.41146044449712,135.73498384496324,TSU
21,104.3904742636041,98.18178565931571,TSU
22,99.96675095129676,105.92767769603216,ALB
23,199.18564523789473,205.4331810876755,ALB
24,248.2582166003458,251.60959039617623,ALB
