Minisector,RUS,STR,Fastest
0,304.6183903554019,308.9109821259761,STR
1,238.07478095853776,204.1892292515679,RUS
2,138.9825294701376,135.21665878567177,RUS
3,224.03153418852463,221.35699445575827,RUS
4,172.41265335721167,160.40917217449118,RUS
5,171.37311462737253,178.95554092797295,STR
6,253.43584973565768,256.376457788606,STR
7,281.01513286989933,281.9257776924444,STR
8,288.8030748406417,289.98826123051464,STR
9,260.3874786277477,267.6821472405512,STR
10,245.97462988248353,251.70929077702743,STR
11,242.05880067389867,243.4360131371469,STR
12,215.37958690701794,220.23866405763977,STR
13,125.8055824068138,135.8806484566082,STR
14,140.99464350598444,149.52701594025518,STR
15,169.6489257720656,161.60119722093188,RUS
16,245.90446358687828,252.47227590812327,STR
17,241.131653258836,254.37251735545573,STR
18,114.6105854647595,111.52024918277974,RUS
19,196.3378884846804,184.10861923428766,RUS
20,201.11606880883718,203.43019750116264,STR
21,238.29884276680272,235.6329764662565,RUS
22,268.81957683595476,275.474534416732,STR
23,286.4622395733333,301.12421008,STR
24,298.66953865904765,319.75650668437044,STR
25,303.33249983999997,326.1147720727273,STR
